site_no,station_nm,dec_long_va,dec_lat_va,drain_area_va,flood_stage,flood_nu,moderate_flood_stage,moderate_flood_nu,major_flood_stage,major_flood_nu,flow_dt,flow_va,stage_dt,stage_va,peak_rank,peak_count,peak_max,peak_max_yr
"05422000","Wapsipinicon River near De Witt, IA",-90.53485880,41.76697439,2336,11,3,11.5,2,12.5,0,2019-05-27,8560,2019-05-27,12.25,51,83,40900,2014
"05446500","ROCK RIVER NEAR JOSLIN, IL",-90.18527780,41.55611110,9549,12,5,14,0,16.5,0,2019-05-27,22800,2019-05-27,13.89,48,77,47700,2002
"05451770","Iowa River at County Highway E49 near Tama, IA",-92.63655000,41.96425556,1882,12.5,3,13,3,14,0,2019-05-26,12700,2019-05-26,13.32,5,6,26700,2013
"05452500","Iowa River near Belle Plaine, IA",-92.27791670,41.85905556,2455,15,7,-999,-999,-999,-999,2019-05-27,10900,2019-05-27,17.11,13,25,43000,1918
"05453000","Big Bear Creek at Ladora, IA",-92.18212670,41.74944709,189,20,3,-999,-999,-999,-999,2019-05-24,4180,2019-05-24,22.81,39,72,11200,2014
"05453100","Iowa River at Marengo, IA",-92.06479200,41.81272566,2794,15,8,17,4,19,0,2019-05-25,11300,2019-05-25,17.52,39,62,51000,2008
"05454220","Clear Creek near Oxford, IA",-91.74017370,41.71834550,58.4,10,2,-999,-999,-999,-999,2019-05-24,976,2019-05-24,11.59,15,23,6000,2013
"05455100","Old Mans Creek near Iowa City, IA",-91.61572419,41.60640518,201,12,5,-999,-999,-999,-999,2019-05-20,3890,2019-05-20,15.28,20,67,14600,2013
"05455500","English River at Kalona, IA",-91.71461290,41.46973870,574,14,8,16,7,18,2,2019-05-20,10500,2019-05-20,18.52,20,79,36100,1993
"05455700","Iowa River near Lone Tree, IA",-91.47852780,41.42377778,4293,16,4,18.5,0,22,0,2019-05-26,19100,2019-05-26,16.59,19,62,57100,1993
"05464500","Cedar River at Cedar Rapids, IA",-91.66712390,41.97194549,6510,12,2,14,0,16,0,2019-05-27,32300,2019-05-27,12.46,40,116,140000,2008
"05465000","Cedar River near Conesville, IA",-91.29043350,41.40919179,7787,13,6,15,0,16.5,0,2019-05-27,30600,2019-05-27,14.59,36,79,127000,2008
"05465500","Iowa River at Wapello, IA",-91.18209390,41.17808610,12500,21,6,25,0,27.5,0,2019-05-27,51200,2019-05-27,23.37,36,115,188000,2008
"05465700","Iowa River at Oakville, IA",-91.06352780,41.10319444,12630,11,8,15,0,20,0,-999,-999,2019-05-27,13.36,-999,-999,-999,-999
"05466500","EDWARDS RIVER NEAR NEW BOSTON, IL",-90.96736630,41.18697738,445,17,8,-999,-999,-999,-999,2019-05-24,6370,2019-05-24,22.86,16,83,18000,1973
"05467000","POPE CREEK NEAR KEITHSBURG, IL",-90.91930940,41.12892328,174,24,8,-999,-999,-999,-999,2019-05-23,1730,2019-05-23,27.97,61,78,9640,2013
"05469000","HENDERSON CREEK NEAR OQUAWKA, IL",-90.85430720,41.00142580,432,21.5,8,-999,-999,-999,-999,2019-05-23,5440,2019-05-23,25.21,40,83,34600,1982
"05472500","North Skunk River near Sigourney, IA",-92.20462550,41.30084520,730,16,8,18,7,21,1,2019-05-20,11100,2019-05-20,22.19,15,73,27500,1960
"05474000","Skunk River at Augusta, IA",-91.27709420,40.75365038,4312,15,8,17,5,20,0,2019-05-23,25100,2019-05-23,18.88,44,104,66800,1973
"05484900","Raccoon River at Fleur Drive at Des Moines, IA",-93.64299640,41.58165598,3625,12,4,16,2,25,0,2019-05-25,26000,2019-05-25,16.86,12,35,67900,1993
"05485500","Des Moines River blw Raccoon Riv at Des Moines, IA",-93.60549510,41.57776716,9879,24,4,26,3,30,0,2019-05-25,41700,2019-05-25,27.43,21,79,116000,1993
"05485640","Fourmile Creek at Des Moines, IA",-93.54549320,41.61387800,92.7,12.5,1,14,0,16,0,2019-05-24,3880,2019-05-24,12.97,13,45,9620,2010
"05486000","North River near Norwalk, IA",-93.65496850,41.45790739,349,22,2,25,0,26,0,2019-05-25,8310,2019-05-25,23.26,15,78,32000,1947
"05489500","Des Moines River at Ottumwa, IA",-92.41129630,41.01084795,13374,11.5,5,15,0,19,0,2019-05-27,41500,2019-05-27,13.43,30,102,140000,1903
"05490500","Des Moines River at Keosauqua, IA",-91.95961700,40.72780589,14038,22,1,25,0,27,0,2019-05-27,55300,2019-05-27,22.86,25,111,146000,1903
"05490600","Des Moines River at St. Francisville, MO",-91.56696390,40.46240830,14300,18,6,22,1,25,0,2019-05-27,58100,2019-05-27,22.89,3,3,66700,2015
"05495000","Fox River at Wayland, MO",-91.59788890,40.39241667,400,15,2,18,0,20,0,2019-05-26,7680,2019-05-26,15.91,45,96,26400,1973
